year,month,type,sales
2018,1,中,3667
2018,1,大,1901
2018,1,小,5119
2018,2,中,3767
2018,2,大,1951
2018,2,小,5395
2018,3,中,12919
2018,3,大,4966
2018,3,小,20376
2018,4,中,9243
2018,4,大,3656
2018,4,小,13662
2018,5,中,7252
2018,5,大,2633
2018,5,小,9428
2018,6,中,5550
2018,6,大,2250
2018,6,小,6388
2018,7,中,4341
2018,7,大,2026
2018,7,小,4756
2018,8,中,4232
2018,8,大,4481
2018,8,小,5359
2018,9,中,1997
2018,9,大,2154
2018,9,小,6773
2018,10,中,5343
2018,10,大,2133
2018,10,小,7798
2018,11,中,4951
2018,11,大,2281
2018,11,小,8645
2018,12,中,4987
2018,12,大,2135
2018,12,小,8905
