year,province,dev_cnt,dev_domestic,dev_nation,dev_collectivity,dev_HMT,dev_foreign,total_investment,complete_investment,year_complete_investment,building_investment,equip_investment,other_investment,roadwork_area,complete_area,complete_rate,complete_price,complete_cost
2004,山东,3201.0,2983.0,291.0,194.0,135.0,83.0,2686.5,1386.63,764.79,542.37,13.4,209.02,8283.92,2396.89,28.9,279.79,1167.3
2004,山西,1053.0,1027.0,132.0,34.0,21.0,5.0,408.76,258.15,125.79,92.71,2.23,30.85,1603.72,477.12,29.8,58.07,1217.13
2004,广东,5982.0,4940.0,541.0,726.0,757.0,285.0,7148.24,4726.05,1355.84,953.35,29.61,372.89,13911.55,3407.83,24.5,616.75,1809.79
2004,广西,1674.0,1488.0,215.0,54.0,118.0,68.0,747.15,426.21,192.35,136.04,4.21,52.1,2998.91,884.51,29.5,83.59,945.03
2004,新疆,709.0,698.0,32.0,7.0,6.0,5.0,317.87,185.04,104.7,86.0,1.27,17.42,1282.3,556.99,43.4,62.3,1118.6
2004,江苏,4100.0,3655.0,251.0,214.0,296.0,149.0,4200.69,2339.2,1269.78,864.87,10.87,394.03,12316.18,3906.33,31.7,489.35,1252.72
2004,江西,1756.0,1581.0,178.0,49.0,114.0,61.0,856.48,390.58,242.84,173.98,2.02,66.83,3325.2,1155.72,34.8,88.57,766.37
2004,河北,1653.0,1574.0,101.0,16.0,49.0,30.0,904.64,427.01,315.9,232.37,2.68,80.84,3268.65,820.7,25.1,99.21,1208.78
2004,河南,2047.0,1927.0,194.0,67.0,68.0,52.0,922.52,467.34,258.82,170.48,1.92,86.42,3940.64,1135.32,28.8,100.94,889.09
2004,浙江,3685.0,3488.0,178.0,82.0,112.0,85.0,4416.12,2720.05,1295.24,779.73,10.28,505.23,13858.95,3195.35,23.1,484.92,1517.59
2004,海南,832.0,695.0,105.0,27.0,80.0,57.0,204.19,115.21,55.99,42.3,1.23,12.46,683.95,105.31,15.4,20.12,1910.3
2004,湖北,1917.0,1701.0,229.0,52.0,137.0,79.0,1508.38,860.86,337.28,227.53,3.79,105.96,4055.22,1532.39,37.8,164.6,1074.17
2004,湖南,2112.0,1933.0,211.0,52.0,124.0,55.0,1269.63,761.87,334.87,234.09,4.95,95.82,4071.79,1459.11,35.8,133.57,915.44
2004,甘肃,800.0,745.0,82.0,37.0,31.0,24.0,295.59,169.11,72.08,57.36,1.23,13.49,1448.08,321.31,22.2,38.67,1203.61
2004,福建,2693.0,1887.0,253.0,99.0,515.0,291.0,1900.38,1138.69,477.79,336.93,2.6,138.26,5795.69,1523.91,26.3,177.81,1166.78
2004,西藏,28.0,27.0,5.0,,,1.0,8.76,7.86,5.39,5.23,0.04,0.12,38.43,9.19,23.9,1.34,1453.42
2004,贵州,1480.0,1414.0,99.0,38.0,43.0,23.0,480.76,270.28,121.66,83.94,1.5,36.22,2443.28,644.48,26.4,59.99,930.8
2004,辽宁,2867.0,2566.0,150.0,49.0,159.0,142.0,2167.17,1228.37,701.12,482.72,7.88,210.52,6123.19,2064.44,33.7,241.78,1171.17
2004,重庆,1828.0,1714.0,71.0,24.0,83.0,31.0,2088.83,973.2,393.09,265.76,7.72,119.61,6160.04,1534.58,24.9,154.72,1008.2
2004,陕西,967.0,931.0,116.0,24.0,23.0,13.0,814.74,419.1,231.17,179.84,6.39,44.94,2490.53,538.41,21.6,70.84,1315.71
2004,青海,291.0,271.0,7.0,7.0,16.0,4.0,88.3,51.59,26.24,22.2,0.3,3.74,426.73,149.86,35.1,17.39,1160.41
2004,黑龙,1009.0,974.0,118.0,15.0,23.0,12.0,567.66,329.08,214.07,153.94,6.7,53.43,2260.11,942.87,41.7,102.84,1090.74
2005,上海,4064.0,3587.0,363.0,188.0,277.0,200.0,6615.35,4377.12,1246.86,859.94,20.9,366.02,10462.39,3095.74,29.6,946.77,3058.0
2005,云南,875.0,848.0,58.0,9.0,21.0,6.0,776.94,476.4,246.91,184.15,0.88,61.88,2806.98,857.53,30.6,109.07,1272.0
2005,内蒙,1012.0,1003.0,35.0,8.0,5.0,4.0,396.94,217.9,162.1,126.88,0.4,34.82,2111.34,897.12,42.5,97.88,1091.0
2005,北京,3123.0,2786.0,143.0,26.0,197.0,140.0,7001.14,4535.74,1525.01,881.81,42.32,600.88,10748.5,3770.88,35.1,812.02,2153.0
2005,吉林,758.0,720.0,56.0,4.0,26.0,12.0,497.54,264.13,195.73,147.13,1.48,47.12,1889.99,622.76,33.0,67.6,1086.0
2005,四川,2848.0,2725.0,139.0,67.0,76.0,47.0,1911.05,1271.03,701.45,446.3,14.59,240.57,8277.68,2769.95,33.5,223.61,807.0
2005,天津,974.0,887.0,137.0,32.0,41.0,46.0,2728.22,1133.27,327.54,197.73,5.2,124.61,3470.57,1479.22,42.6,207.91,1406.0
2005,宁夏,304.0,301.0,7.0,2.0,,3.0,140.41,107.13,74.78,60.86,0.96,12.96,1049.36,568.12,54.1,59.09,1040.0
2005,安徽,1909.0,1803.0,145.0,51.0,56.0,50.0,1930.11,845.28,459.44,310.33,4.24,144.86,5306.92,1816.86,34.2,202.76,1116.0
2005,山东,3039.0,2855.0,267.0,166.0,119.0,65.0,3556.01,1776.44,977.71,701.79,10.55,265.37,10670.88,3600.41,33.7,469.65,1304.0
2005,山西,1181.0,1155.0,141.0,31.0,21.0,5.0,584.65,322.54,177.99,139.6,2.04,36.35,2266.53,667.25,29.4,91.73,1375.0
2005,广东,5410.0,4410.0,439.0,511.0,792.0,208.0,7914.98,4923.21,1591.9,1169.08,37.0,385.82,15110.04,4385.16,29.0,829.35,1891.0
2005,广西,1730.0,1542.0,196.0,51.0,112.0,76.0,1254.19,705.69,286.79,216.16,2.65,67.98,4082.76,1330.74,32.6,116.78,878.0
2005,新疆,756.0,744.0,26.0,5.0,7.0,5.0,272.99,165.44,101.66,85.96,1.41,14.29,1371.15,717.43,52.3,81.13,1131.0
2005,江苏,3810.0,3384.0,216.0,142.0,277.0,149.0,6037.5,3481.26,1545.15,1091.29,12.53,441.33,15619.26,5500.12,35.2,758.78,1380.0
2005,江西,1824.0,1619.0,170.0,41.0,131.0,74.0,1173.49,546.12,301.1,218.78,2.38,79.93,4508.16,1561.54,34.6,130.99,839.0
2005,河北,1169.0,1111.0,66.0,5.0,37.0,21.0,1213.1,547.34,391.53,298.82,3.29,89.42,3820.96,1129.92,29.6,137.41,1216.0
2005,河南,1906.0,1795.0,173.0,58.0,59.0,52.0,1449.85,701.76,388.52,283.87,2.84,101.81,4902.98,1370.94,28.0,144.72,1056.0
2005,浙江,3549.0,3369.0,150.0,66.0,98.0,82.0,5458.01,3560.8,1456.49,917.04,12.87,526.58,15651.74,4130.8,26.4,671.46,1625.0
2005,海南,306.0,263.0,22.0,4.0,26.0,17.0,284.86,167.5,70.85,55.14,1.64,14.07,921.1,187.09,20.3,34.54,1846.0
2005,湖北,1990.0,1782.0,213.0,47.0,129.0,79.0,1692.03,749.21,447.95,315.15,4.68,128.12,4804.35,1627.03,33.9,238.79,1468.0
2005,湖南,2006.0,1853.0,172.0,40.0,101.0,52.0,1961.26,942.65,456.97,316.96,7.51,132.51,5050.35,1741.15,34.5,179.34,1030.0
2005,甘肃,825.0,770.0,68.0,37.0,31.0,24.0,339.74,217.09,86.6,70.73,1.68,14.2,1437.98,454.9,31.6,51.18,1125.0
2005,福建,2596.0,1866.0,225.0,91.0,470.0,260.0,2153.63,1075.47,540.39,356.91,3.97,179.51,6107.75,1576.16,25.8,199.8,1268.0
2005,西藏,21.0,21.0,5.0,,,,14.68,8.66,6.02,4.59,0.07,1.36,43.36,26.49,61.1,4.3,1625.0
